tax_code;attribute_key;attribute_count;materials;waste_types;units;container_types;intervals;property_types;source;source_text
FRAMKÖRKOM;HÄMTNING;1;;;HÄMTNING;;;;RULE:Taxa_från_edp:95;Framkörningsavgift, hämtning av kommunalt avfall Okänd KVAN FRAMKÖRKOM | Framkörningsavgift, hämtning av kommunalt avfall | KVAN | Framkörningsavgift, hämtning av kommunalt avfall | ANTL
LATRINBUD;HÄMTNING;1;;;HÄMTNING;;;;RULE:Taxa_från_edp:123;Budad hämtning, latrin i godkänd latrinbehållare Okänd KVAN LATRINBUD | Budad hämtning, latrin i godkänd latrinbehållare | KVAN | Budad hämtning, latrin i godkänd latrinbehållare | ANTL
LÖSTKBMBUD;HÄMTNING;1;;;HÄMTNING;;;;STANDARD:Standard Avfall:199;Hämtning löst avfall, per kbm. Budning KVAN ANTL
UPPEHÅLL;HÄMTNING;1;;;HÄMTNING;;;;STANDARD:Standard Avfall:308;Dummytaxa för tjänst som har upphåll i hämtning ÅRKV 0
;JORD,STEN|TON|VERKSAMHET;4;JORD,STEN;;TON;;;VERKSAMHET;RULE:Taxepunkter:274;Jord och sten ÅVC/verksamhetsavfall Vikt VIKG §6.1.2 | §6.1.2 | Jord och sten |  | kr/ton |  |  |  |  |  |  | 
;JORD,STEN|VERKSAMHET;3;JORD,STEN;;;;;VERKSAMHET;RULE:Taxepunkter:358;Jord och sten ÅVC/verksamhetsavfall §6.1.2 | §6.1.2 | Jord och sten |  | kr |  |  |  |  |  |  | 
;JORD|KG|VERKSAMHET;3;JORD;;KG;;;VERKSAMHET;RULE:Taxepunkter:318;Förpackningar, tömda ej rengjorda Avfallskod 15 01 10* ÅVC/verksamhetsavfall Förpackningar §6.1.2 | §6.1.2 | Förpackningar, tömda ej rengjorda Avfallskod 15 01 10* |  | Kr/Kg |  |  |  |  |  |  | 
TÖMUJMA;JORD|MAT;2;JORD;MAT;;;;;RULE:Taxa_från_edp:151;Tömningar underjordsbehållare, matavfall Okänd Matavfall KVAN TÖMUJMA | Tömningar underjordsbehållare, matavfall | KVAN | Tömningar underjordsbehållare, matavfall | ANTL
UNDERJORDMA;JORD|MAT;2;JORD;MAT;;;;;RULE:Taxa_från_edp:58;Tjänsttaxa underjordsbehållare för matavfall Okänd Matavfall ÅRKV UNDERJORDMA | Tjänsttaxa underjordsbehållare för matavfall | ÅRKV | Tjänsttaxa underjordsbehållare för matavfall | 0
VIKTMATUJ;JORD|MAT;2;JORD;MAT;;;;;RULE:Taxa_från_edp:299;Underjordsbehållare , viktavgift matavfall Okänd Matavfall KVAN VIKTMATUJ | Underjordsbehållare , viktavgift matavfall | KVAN | Viktavgift matavfall | VIKG
MB3200RE26;JORD|REST;2;JORD;REST;;;;;RULE:Taxa_från_edp:269;Tjänsttaxa underjordsbehållare för restavfall Okänd Restavfall ÅRKV MB3200RE26 | Tjänsttaxa underjordsbehållare för restavfall | ÅRKV | Tjänsttaxa underjordsbehållare för restavfall | 0
TÖMUJRE;JORD|REST;2;JORD;REST;;;;;RULE:Taxa_från_edp:152;Tömningar underjordsbehållare, restavfall Okänd Restavfall KVAN TÖMUJRE | Tömningar underjordsbehållare, restavfall | KVAN | Tömningar underjordsbehållare, restavfall | ANTL
UNDERJORDRE;JORD|REST;2;JORD;REST;;;;;RULE:Taxa_från_edp:59;Tjänsttaxa underjordsbehållare för restavfall Okänd Restavfall ÅRKV UNDERJORDRE | Tjänsttaxa underjordsbehållare för restavfall | ÅRKV | Tjänsttaxa underjordsbehållare för restavfall | 0
