Word Tax Coverage Report

KRAV:
Alla taxor som hittas i Word måste finnas som egen rad i Taxepunkter.
Detta gäller oavsett om Taxa_från_edp är tom eller saknar matchning.

Total parser rows: 241
COVERED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- COVERED | section+tax_point | 6.1.1 | Övriga abonnemangstyper | excel_row=247 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.1 | Vågkort | excel_row=248 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.1 | Borttappat vågkort | excel_row=249 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- MISSING | no Taxepunkter row | 6.1.1 | Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst) | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- COVERED | section+tax_point | 6.1.1 | Ej redovisad eller fel redovisad fraktion av avfall | excel_row=251 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Avfall till energiåtervinning (240 L sopsäck) | excel_row=253 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Avfall till energiåtervinning | excel_row=254 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Skrymmande avfall till energiåtervinning större än 20×20×80 | excel_row=255 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp | excel_row=256 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 6.1.2 | Träavfall – behandlat, utan tapet, plastmatta, tjärpapp | excel_row=257 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- MISSING | no Taxepunkter row | 6.1.2 | Tryckimpregnerat virke, pall | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
