Taxepunkter Row Build Plan

KRAV:
Alla taxor som hittas i Word/parsern ska finnas som egen rad i Taxepunkter.
EDP-data kompletterar endast raden efteråt.

Parser rows: 241
REUSE: 78
CREATE: 136
REVIEW: 27
Coverage plan valid: True

Details:
- REUSE | section+tax_point | 5.2 | Silikontätning per lock | excel_row=240 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 5.2 | Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3 | excel_row=242 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REVIEW | multiple section+tax_point rows | 5.3 | Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) | excel_row=245 tax_code= | 2 befintliga rader delar paragraf+taxapunkt
- REVIEW | multiple section+tax_point rows | 5.3 | Budning utanför ordinarie tömningsperiod | excel_row=246 tax_code= | 2 befintliga rader delar paragraf+taxapunkt
- REUSE | section+tax_point | 6.1.1 | Verksamheter | excel_row=253 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 6.1.1 | Övriga abonnemangstyper | excel_row=254 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 6.1.1 | Vågkort | excel_row=255 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 6.1.1 | Borttappat vågkort | excel_row=256 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 6.1.1 | Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst) | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.1 | Ej redovisad eller fel redovisad fraktion av avfall | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Avfall till energiåtervinning (240 L sopsäck) | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Avfall till energiåtervinning | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Skrymmande avfall till energiåtervinning större än 20×20×80 | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 6.1.2 | Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp | excel_row=262 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 6.1.2 | Träavfall – behandlat, utan tapet, plastmatta, tjärpapp | excel_row=263 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Tryckimpregnerat virke, pall | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Betong, lättbetong | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Gips, gipsskivor | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 6.1.2 | Tegel | excel_row=267 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Fönster- och planglas utan karm | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 6.1.2 | Fönster med karm | excel_row=269 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Plast | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 6.1.2 | Isolering utan innehåll av asbest | excel_row=270 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Klinker, keramik, porslin | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Handfat | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | WC-stol | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Metall | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 6.1.2 | Textilier | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
