Kategori;Avfallstyp;Enhetstyp;Faktorhint;Behållarvolym liter;Word feature count;Standard row count;Exempel Word-taxor;Exempel standardtaxor
ÅVC/verksamhetsavfall;Restavfall;;KVAN;;0;3;;MB1300REBUD Markbehållare 1,3 m³, restavfall. Budning | MB2200REBUD Markbehållare 2,2 m³, restavfall. Budning | MB5000REBUD Markbehållare 5 m³, restavfall. Budning
ÅVC/verksamhetsavfall;Restavfall;;ÅRKV;;0;13;;MB1300RE104 Markbehållare 1,3 m³, restavfall. 2ggr/ vecka | MB1300RE52 Markbehållare 1,3 m³, restavfall. Varje vecka | MB1300RE26 Markbehållare 1,3 m³, restavfall. Var 14:e dag | MB1300RE13 Markbehållare 1,3 m³, restavfall. Var 4:e vecka | MB2200RE104 Markbehållare 2,2 m³, restavfall. 2ggr/ vecka
ÅVC/verksamhetsavfall;Restavfall;Behållarvolym;KVAN;660;0;1;;KÄREBUD Kärl 140-660 L, restavfall. Budning
ÅVC/verksamhetsavfall;Restavfall;Behållarvolym;ÅRKV;140;0;12;;KÄ140RE26V Kärl 140 L, restavfall. Var 14:e dag. Verksamheter | KÄ140RE26F Kärl 140 L, restavfall. Var 14:e dag. Flerbostadshus | KÄ140RE26H Kärl 140 L, restavfall. Var 14:e dag. Hemkomposterare | KÄ140RE156 Kärl 140 L, restavfall. 3ggr/ vecka | KÄ140RE104 Kärl 140 L, restavfall. 2ggr/ vecka
ÅVC/verksamhetsavfall;Restavfall;Behållarvolym;ÅRKV;190;0;9;;KÄ190RE156 Kärl 190 L, restavfall. 3ggr/ vecka | KÄ190RE104 Kärl 190 L, restavfall. 2ggr/ vecka | KÄ190RE52 Kärl 190 L, restavfall. Varje vecka | KÄ190RE26 Kärl 190 L, restavfall. Var 14:e dag | KÄ190RE13 Kärl 190 L, restavfall. Var 4:e vecka
ÅVC/verksamhetsavfall;Restavfall;Behållarvolym;ÅRKV;240;0;9;;KÄ240RE156 Kärl 240 L, restavfall. 3ggr/ vecka | KÄ240RE104 Kärl 240 L, restavfall. 2ggr/ vecka | KÄ240RE52 Kärl 240 L, restavfall. Varje vecka | KÄ240RE26 Kärl 240 L, restavfall. Var 14:e dag | KÄ240RE13 Kärl 240 L, restavfall. Var 4:e vecka
ÅVC/verksamhetsavfall;Restavfall;Behållarvolym;ÅRKV;370;0;9;;KÄ370RE156 Kärl 370 L, restavfall. 3ggr/ vecka | KÄ370RE104 Kärl 370 L, restavfall. 2ggr/ vecka | KÄ370RE52 Kärl 370 L, restavfall. Varje vecka | KÄ370RE26 Kärl 370 L, restavfall. Var 14:e dag | KÄ370RE13 Kärl 370 L, restavfall. Var 4:e vecka
ÅVC/verksamhetsavfall;Restavfall;Behållarvolym;ÅRKV;660;0;12;;KÄ660RE13D2 Kärl 660 L, restavfall. Var 4:e vecka. 2 hh | KÄ660RE44SD4 Kärl 660 L, restavfall. 2ggr/vecka säsong. 4 hh | KÄ660RE52FV Kärl 660 L, restavfall. Varje vecka. Flerb.hus/Verksamheter | KÄ660RE156 Kärl 660 L, restavfall. 3ggr/ vecka | KÄ660RE104 Kärl 660 L, restavfall. 2ggr/ vecka
ÅVC/verksamhetsavfall;Tegel;Vikt;VIKG;;1;0;6.1.2 Tegel;
ÅVC/verksamhetsavfall;Tryckimpregnerat trä;Vikt;VIKG;;1;0;6.1.2 Tryckimpregnerat virke, pall;
ÅVS;;;KVAN;;0;20;;ÅTÖMGF ÅVS tömning glasförpackningar, färgade | ÅBEHGF ÅVS behandling glasförpackningar, färgade | ÅTÖMGO ÅVS tömning glasförpackningar, ofärgade | ÅBEHGO ÅVS behandling glasförpackningar, ofärgade | ÅTÖMME ÅVS tömning metallförpackningar
ÅVS;;;ÅRKV;;0;7;;ÅVSGF ÅVS glasförpackningar, färgade. Tjänsttaxa | ÅVSGO ÅVS glasförpackningar, ofärgade. Tjänsttaxa | ÅVSME ÅVS metallförpackningar. Tjänsttaxa | ÅVSPA ÅVS pappersförpackningar. Tjänsttaxa | ÅVSPL ÅVS plastförpackningar. Tjänsttaxa
