Parser 3.0 precision report

Matched: 0
Missing: 0
Extra: 274
Passed: False

EXTRA
- 2.1 | en- och tvåbostadshus |  |  | Extra parser row
- 6.1.2 | rengöring/vaskmedel fast |  | kilogram | Extra parser row
- 6.1.2 | alkaliska flytande avfall |  | kilogram | Extra parser row
- 6.1.2 | cytotoxiska läkemedel, cytostat |  | kilogram | Extra parser row
- 6.1.2 | rökdetektor med andra isotoper |  | kilogram | Extra parser row
- 6.1.2 | rökdetektor med am 241 |  | kilogram | Extra parser row
- 6.1.2 | batterier stav, pencell |  | kilogram | Extra parser row
- 6.1.2 | batterier stav, pencell |  | kilogram | Extra parser row
- 6.1.2 | batterier lithium |  | kilogram | Extra parser row
- 6.1.2 | batterier lithium |  | kilogram | Extra parser row
- 6.1.2 | bil-, mcbatteri med bly |  | styck | Extra parser row
- 6.1.2 | bil-, mcbatteri med bly |  | styck | Extra parser row
- 6.1.2 | glödlampor |  | kilogram | Extra parser row
- 6.1.2 | glödlampor |  | kilogram | Extra parser row
- 6.1.2 | lysrör |  | kilogram | Extra parser row
- 6.1.2 | lysrör |  | kilogram | Extra parser row
- 6.1.2 | elavfall, små elektronik |  | kilogram | Extra parser row
- 6.1.2 | elavfall, små elektronik |  | kilogram | Extra parser row
- 6.1.2 | el-avfall fast installation |  | kilogram | Extra parser row
- 6.1.2 | el-avfall fast installation |  | kilogram | Extra parser row
- 6.1.2 | el-avfall kabel |  | kilogram | Extra parser row
- 6.1.2 | el-avfall kabel |  | kilogram | Extra parser row
- 6.1.2 | toner, färgpatron med elektronik |  | kilogram | Extra parser row
- 6.1.2 | toner, färgpatron med elektronik |  | kilogram | Extra parser row
- 6.1.2 | tv, radio, skärm, skrivare utan färgpatron |  | kilogram | Extra parser row
- 6.1.2 | tv, radio, skärm, skrivare utan färgpatron |  | kilogram | Extra parser row
- 6.1.2 | kyl-, frysskåp, -box |  | styck | Extra parser row
- 6.1.2 | kyl-, frysskåp, -box |  | styck | Extra parser row
- 6.1.2 | kyl-, frysskåp, -box från verksamhet |  | kilogram | Extra parser row
- 6.1.2 | kyl-, frysskåp, -box från verksamhet |  | kilogram | Extra parser row
- 6.1.2 | spis, tvätt-, diskmaskin |  | styck | Extra parser row
- 6.1.2 | spis, tvätt-, diskmaskin |  | styck | Extra parser row
- 6.1.2 | spis, tvätt-, diskmaskin från verksamhet |  | kilogram | Extra parser row
- 6.1.2 | spis, tvätt-, diskmaskin från verksamhet |  | kilogram | Extra parser row
- 6.1.3 | container x m3 |  | m³ | Extra parser row
- 6.1.3 | container x m3 |  | m³ | Extra parser row
- 6.1.3 | container x m3 |  | m³ | Extra parser row
- 6.1.3 | omklassning av felsorterad container |  | container | Extra parser row
- 6.1.4 | okänt farligt avfall (säkerhetsdatablad saknas) /fraktion |  | fraktion | Extra parser row
- 6.1.4 | ombud för rapportering av farligt avfall i avfallsregistret /tillfälle |  | tillfälle | Extra parser row
- 6.1.4 | administrativ rapporteringsavgift till avfallsregistret /tillfälle |  | tillfälle | Extra parser row
